% Model,FULLCELL_NFM_charge_1C_mesh_fine.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:01"
% Dimension,3
% Nodes,46054
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=1906.7
0,2.139383093162223E-6,4.2698757791190826E-6,NaN
5.459818798791982E-7,1.8936465178401896E-6,4.302E-6,NaN
3.999999999999989E-7,2.700000000000001E-6,4.302E-6,NaN
0,2.3127886916175902E-6,5.186655721650399E-6,NaN
1.7495636737505809E-6,1.749563673750581E-6,2.435628766967562E-6,NaN
2.7E-6,1.355880057245863E-6,2.4356287669676695E-6,NaN
1.431145584044388E-6,8.747818368752914E-7,1.7882274937714858E-6,NaN
2.2034583094969936E-6,1.6788288694575485E-6,1.2178143834837824E-6,NaN
1.7495636737505809E-6,1.749563673750581E-6,2.435628766967562E-6,NaN
2.7E-6,1.355880057245863E-6,2.4356287669676695E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
1.431145584044388E-6,8.747818368752914E-7,1.7882274937714858E-6,NaN
2.199109244651391E-6,5.107068461292449E-7,3.8059113611249017E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
2.6999999999999996E-6,3.999999999999989E-7,4.302E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
2.199109244651391E-6,5.107068461292449E-7,3.8059113611249017E-6,NaN
2.6999999999999996E-6,3.999999999999989E-7,4.302E-6,NaN
2.039481073223166E-6,0,4.518116684041905E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
2.199109244651391E-6,5.107068461292449E-7,3.8059113611249017E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
2.199109244651391E-6,5.107068461292449E-7,3.8059113611249017E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
1.0634993685743028E-6,0,3.7923711262486346E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
2.321405626382347E-6,0,2.4952970319966545E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
2.321405626382347E-6,0,2.4952970319966545E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
2.7E-6,1.355880057245863E-6,2.4356287669676695E-6,NaN
2.321405626382347E-6,0,2.4952970319966545E-6,NaN
2.7E-6,1.355880057245863E-6,2.4356287669676695E-6,NaN
1.431145584044388E-6,8.747818368752914E-7,1.7882274937714858E-6,NaN
1.6138663915517103E-6,9.12164896396726E-7,3.34598774750374E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
3.0849741367952406E-6,0,3.967853359668096E-6,NaN
2.6999999999999996E-6,3.999999999999989E-7,4.302E-6,NaN
2.197307647020116E-6,0,3.341471098463201E-6,NaN
3.0849741367952406E-6,0,3.967853359668096E-6,NaN
3.3754192539193913E-6,5.847014299545361E-7,3.702566274723723E-6,NaN
2.6999999999999996E-6,5.935995573996723E-7,3.378378229244704E-6,NaN
2.6999999999999996E-6,3.999999999999989E-7,4.302E-6,NaN
1.8590712238614321E-6,6.349275899846341E-6,0,NaN
2.1960000000000002E-6,6.804E-6,3.95999999999999E-7,NaN
1.8649225253695772E-6,7.070363844514577E-6,0,NaN
