% Model,FULLCELL_NFMZC_charge_1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 03:00"
% Dimension,3
% Nodes,52047
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=740.35
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
1.7341028367198818E-6,3.071897163280118E-6,2.4035379397872168E-6,NaN
1.214096848084137E-6,3.4563343642381763E-6,2.1221507378362592E-6,NaN
1.7341028367198818E-6,3.071897163280118E-6,2.4035379397872168E-6,NaN
1.630958170402708E-6,3.916430983075453E-6,2.015206635753505E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
5.992389217528873E-7,3.5580809800914083E-6,2.6255150537489414E-6,NaN
1.214096848084137E-6,3.4563343642381763E-6,2.1221507378362592E-6,NaN
1.084113395285887E-6,2.913362330136738E-6,2.686145425927678E-6,NaN
2.7600773652119455E-7,1.6289437925767104E-6,4.091660804170372E-6,NaN
0,1.292034066280165E-6,3.771540597401443E-6,NaN
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
6.054300836746205E-7,1.4418511878491173E-6,3.4346665513451107E-6,NaN
0,1.7924066135436329E-6,4.002574432804774E-6,NaN
1.5650633980215804E-7,2.058072096840122E-6,4.14745074625999E-6,NaN
2.7600773652119455E-7,1.6289437925767104E-6,4.091660804170372E-6,NaN
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
0,1.7924066135436329E-6,4.002574432804774E-6,NaN
2.7600773652119455E-7,1.6289437925767104E-6,4.091660804170372E-6,NaN
0,1.292034066280165E-6,3.771540597401443E-6,NaN
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
1.5650633980215804E-7,2.058072096840122E-6,4.14745074625999E-6,NaN
0,1.7924066135436329E-6,4.002574432804774E-6,NaN
0,2.253808507893265E-6,3.7311745339604644E-6,NaN
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
1.7769801852247887E-6,4.159254936232249E-6,3.1532751615609543E-6,NaN
1.670702597740159E-6,4.396094013716327E-6,2.4151939375170676E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
1.10618776711494E-6,4.628494326729924E-6,3.098531231270299E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
5.992389217528873E-7,3.5580809800914083E-6,2.6255150537489414E-6,NaN
1.0942754714076017E-6,3.976773739504357E-6,3.4509640973221725E-6,NaN
7.619886795521959E-7,4.455663171022871E-6,2.55237349050314E-6,NaN
1.0942754714076017E-6,3.976773739504357E-6,3.4509640973221725E-6,NaN
1.7769801852247887E-6,4.159254936232249E-6,3.1532751615609543E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
1.10618776711494E-6,4.628494326729924E-6,3.098531231270299E-6,NaN
1.0942754714076017E-6,3.976773739504357E-6,3.4509640973221725E-6,NaN
1.10618776711494E-6,4.628494326729924E-6,3.098531231270299E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
7.619886795521959E-7,4.455663171022871E-6,2.55237349050314E-6,NaN
1.4797358990507846E-6,4.353428910013642E-6,3.704129114189093E-6,NaN
1.0942754714076017E-6,3.976773739504357E-6,3.4509640973221725E-6,NaN
1.10618776711494E-6,4.628494326729924E-6,3.098531231270299E-6,NaN
1.7769801852247887E-6,4.159254936232249E-6,3.1532751615609543E-6,NaN
6.507882237941671E-7,2.98926596898965E-6,3.130311675989668E-6,NaN
6.269647368594881E-7,3.4690769209819213E-6,3.500410713027033E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
5.992389217528873E-7,3.5580809800914083E-6,2.6255150537489414E-6,NaN
1.1984778435057772E-6,3.5631261354734434E-6,2.9210023038946617E-6,NaN
6.269647368594881E-7,3.4690769209819213E-6,3.500410713027033E-6,NaN
1.0942754714076017E-6,3.976773739504357E-6,3.4509640973221725E-6,NaN
5.992389217528873E-7,3.5580809800914083E-6,2.6255150537489414E-6,NaN
