% Model,FULLCELL_NFM_charge_1C_radius_high.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:35"
% Dimension,3
% Nodes,30733
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=953.33
6.72390869690543E-7,8.485935521512453E-6,3.1687447683595854E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
1.1003173663352294E-6,8.546840772991573E-6,3.84160961592583E-6,NaN
1.1003173663352294E-6,8.546840772991573E-6,3.84160961592583E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
8.457734082488425E-7,9.194102321345368E-6,4.430299753146035E-6,NaN
6.539408434518762E-7,9.28210166467318E-6,2.4453723700687285E-6,NaN
7.090494708912562E-7,8.817459887097063E-6,2.5253999999999996E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
0,9.185427981458769E-6,2.179705137670669E-6,NaN
7.090494708912562E-7,8.817459887097063E-6,2.5253999999999996E-6,NaN
6.539408434518762E-7,9.28210166467318E-6,2.4453723700687285E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
6.539408434518762E-7,9.28210166467318E-6,2.4453723700687285E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
0,1.035E-5,3.1061791440891525E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
3.204351427646423E-6,8.503551427646424E-6,6.915652425058101E-7,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
3.7243470607832633E-6,7.702777187337554E-6,0,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
3.7243470607832633E-6,7.702777187337554E-6,0,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
2.8719460199623333E-6,8.074416149386663E-6,0,NaN
2.5253999999999996E-6,8.817459887097041E-6,7.090494708912438E-7,NaN
3.204351427646423E-6,8.503551427646424E-6,6.915652425058101E-7,NaN
2.8719460199623333E-6,8.074416149386663E-6,0,NaN
2.408662400812635E-6,9.19181631038782E-6,0,NaN
3.204351427646423E-6,8.503551427646424E-6,6.915652425058101E-7,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
2.8719460199623333E-6,8.074416149386663E-6,0,NaN
3.4525969614473847E-6,7.8246E-6,6.746688486215121E-7,NaN
3.7243470607832633E-6,7.702777187337554E-6,0,NaN
3.181027258934818E-6,7.1689727410651805E-6,6.746688486213777E-7,NaN
2.8719460199623333E-6,8.074416149386663E-6,0,NaN
1.909514430696607E-6,9.33601026411163E-6,1.2521270602648244E-6,NaN
1.252917716912937E-6,9.105399981062255E-6,1.5128585204839909E-6,NaN
1.019233110217595E-6,1.035E-5,1.0597590188742E-6,NaN
1.1190487371947886E-6,9.1490894304917E-6,0,NaN
1.1190487371947886E-6,9.1490894304917E-6,0,NaN
2.408662400812635E-6,9.19181631038782E-6,0,NaN
1.5375840835901324E-6,1.035E-5,0,NaN
1.909514430696607E-6,9.33601026411163E-6,1.2521270602648244E-6,NaN
1.909514430696607E-6,9.33601026411163E-6,1.2521270602648244E-6,NaN
1.8233420410663118E-6,8.526657958933687E-6,7.090494708906719E-7,NaN
1.252917716912937E-6,9.105399981062255E-6,1.5128585204839909E-6,NaN
1.1190487371947886E-6,9.1490894304917E-6,0,NaN
2.5253999999999996E-6,8.817459887097041E-6,7.090494708912438E-7,NaN
1.8233420410663118E-6,8.526657958933687E-6,7.090494708906719E-7,NaN
1.909514430696607E-6,9.33601026411163E-6,1.2521270602648244E-6,NaN
2.408662400812635E-6,9.19181631038782E-6,0,NaN
1.8233420410663118E-6,8.526657958933687E-6,7.090494708906719E-7,NaN
2.408662400812635E-6,9.19181631038782E-6,0,NaN
1.1190487371947886E-6,9.1490894304917E-6,0,NaN
1.909514430696607E-6,9.33601026411163E-6,1.2521270602648244E-6,NaN
2.5253999999999996E-6,8.817459887097041E-6,7.090494708912438E-7,NaN
2.408662400812635E-6,9.19181631038782E-6,0,NaN
